id,inputUrl,username,businessCategoryName,verified,followersCount,igtvVideoCount,postsCount,avgLikes,avgComments,avgViews,engagementRate,credibilityScore,latestComments,credScore
345204813.0,https://www.instagram.com/saraalikhan95/,saraalikhan95,Actor,1.0,45665560.0,68.0,1232.0,652994.8461538461,2724.6923076923076,2654888.769230769,0.07249682928868731,142.050703356088,[],50.0
298124568.0,https://www.instagram.com/samsmith/,samsmith,Musician,1.0,14538801.0,0.0,10.0,71640.09090909091,810.0,218082.01499999998,0.019983223232032058,56.04862366339992,[],50.0
42156523495.0,https://www.instagram.com/rupertgrint/,rupertgrint,Actor,1.0,5346420.0,1.0,20.0,1086684.4615384615,4248.038461538461,1296024.0,0.4464588453582023,58.19230990585937,[],50.0
544821456.0,https://www.instagram.com/rosalia.vt/,rosalia.vt,Musician,1.0,27066314.0,19.0,1119.0,1869341.3846153845,14133.076923076922,5588793.846153846,0.27607262325015175,139.57038143200754,[],50.0
40009724758.0,https://www.instagram.com/shreyas41/,shreyas41,Fan page,0.0,71534.0,0.0,481.0,52914.38461538462,94.61538461538461,1073.01,0.7560322364190455,40.853818477874306,[],50.0
2108210535.0,https://www.instagram.com/saipallavi.senthamarai/,saipallavi.senthamarai,Artist,1.0,10543201.0,6.0,204.0,3123862.0989010986,11596.604395604394,3982940.1428571427,0.6751648618056173,78.39409710294727,[],50.0
6980206633.0,https://www.instagram.com/shxxbi131/,shxxbi131,Musician/band,1.0,4519541.0,3.0,174.0,538412.7307692308,5525.173076923077,481636.75,0.2269200907450898,74.82255135077273,[],50.0
1817332692.0,https://www.instagram.com/mterstegen1/,mterstegen1,Athlete,1.0,17078662.0,4.0,936.0,566557.0153846154,2472.9076923076923,597920.6,0.0683279827820776,137.18323664463747,[],50.0
296102572.0,https://www.instagram.com/shraddhakapoor/,shraddhakapoor,Actor,1.0,94246106.0,58.0,2173.0,1751476.6923076923,9732.461538461539,1726238.076923077,0.03700362146282448,146.42893189831628,[],50.0
26444210.0,https://www.instagram.com/ruben_onsu/,ruben_onsu,"None,Artist",1.0,45139859.0,123.0,15105.0,80061.07692307692,808.8461538461539,444309.07692307694,0.011634484724464912,147.44134947972344,[],50.0
312632706.0,https://www.instagram.com/sincerooficial/,sincerooficial,Digital creator,1.0,21812791.0,5.0,27058.0,161184.08974358975,1750.1153846153848,1329003.0,0.06839735479646805,145.54867129410866,[],50.0
217867189.0,https://www.instagram.com/shakira/,shakira,Musician/band,1.0,91627563.0,54.0,2396.0,932418.5384615385,10996.0,4126920.076923077,0.055336346939453315,146.51860157631594,[],50.0
51815908778.0,https://www.instagram.com/simoneses/,simoneses,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,[],50.0
18240208.0,https://www.instagram.com/shreyaghoshal/,shreyaghoshal,Musician,1.0,32513841.0,62.0,2575.0,483509.48076923075,3641.0576923076924,925814.1666666666,0.043457329607049656,142.17541220304574,[],50.0
550150293.0,https://www.instagram.com/shahidkapoor/,shahidkapoor,Artist,1.0,47159451.0,28.0,1492.0,615536.3846153846,2322.769230769231,1088741.5384615385,0.03618788294010659,142.60598653746996,[],50.0
3105117886.0,https://www.instagram.com/shikhardofficial/,shikhardofficial,"None,Athlete",1.0,19124732.0,42.0,2110.0,1076054.7692307692,1445.8461538461538,482329.07692307694,0.08156086539187543,139.4383949734557,[],50.0
